"Species","AgeClass","Watershed","Stream","Year","CI","BA","Site","CUE"
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.8",1.86454038527088
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.5",1.39840528895297
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","SP1",1.83124502124793
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","SP3",1.53583711386675
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.6",0.0776891827196093
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.12",2.54154612039865
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","SP4",2.92041754227693
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","ST.2022.5",2.02451255918799
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.9",2.66362912181517
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","ST.2022.6",0.791188816234386
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","ST.2022.8",1.57074250281827
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.7",2.86340130595131
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","SP3",0.776891827196093
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.10",2.98548430736784
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","SP4",2.97438585269361
"BKTR","AllAges","Clearwater","Cutoff",2021,"C","After","SP1",1.40274193886808
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","SP1",1.0238914092445
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","SP2",3.21855185552667
"BKTR","AllAges","Clearwater","Cutoff",2020,"C","After","SP4",5.63932656945746
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","ST.2022.7",3.79305226606485
"BKTR","AllAges","Clearwater","Cutoff",2020,"C","After","SP2",1.11252020758004
"BKTR","AllAges","Clearwater","Cutoff",2020,"C","After","SP1",4.99994713981376
"BKTR","AllAges","Clearwater","Cutoff",2023,"C","After","ST.2023.11",1.64257129178602
"BKTR","AllAges","Clearwater","Cutoff",2019,"C","After","SP2",1.47465373440664
"BKTR","AllAges","Clearwater","Cutoff",2020,"C","After","SP3",0.741680138386696
"BKTR","AllAges","Clearwater","Cutoff",2021,"C","After","SP2",1.30515989094683
"BKTR","AllAges","Clearwater","Cutoff",2022,"C","After","SP2",3.38582272829715
"BKTR","AllAges","Clearwater","Cutoff",2019,"C","After","SP1",0.871386297603921
"BKTR","AllAges","Clearwater","Cutoff",2011,"C","Before","-115.564447--51.997397",0.269600360807696
"BKTR","AllAges","Clearwater","Cutoff",2017,"C","Before","-115.616666--51.976663",4.93329535051235
"BKTR","AllAges","Clearwater","Cutoff",2017,"C","Before","-115.565184--51.997043",6.00234983978828
"BKTR","AllAges","Clearwater","Cutoff",2017,"C","Before","-115.503665--52.006513",0.740515792571621
"BKTR","AllAges","Clearwater","Cutoff",2011,"C","Before","-115.504509--52.006265",7.31002121161386
"BKTR","AllAges","Clearwater","Cutoff",2018,"C","Before","SP1",0.317632497793445
"BKTR","AllAges","Clearwater","Cutoff",2018,"C","Before","SP2",2.40912032941798
