"Species","AgeClass","BACI.eff","n.years.b","n.years.a","n.sites.per.year","alpha","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","n.streams.t","n.streams.c","sdSite","sdYear","sdSiteYear","sdResid","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","power","Tcrit","os.power1","os.power2"
"BKTR","AllAges",0.693147180559945,2,1,5,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,10.4113988474164,4.45132177246813,0.859911151255361,1.73960672607507,0.926396564694638,1.00626849763863e-06
"BKTR","AllAges",0.693147180559945,2,1,5,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,10.4113988474164,3.02623156140563,0.926397571033168,1.33337938972163,0.968875606433568,4.62560990721617e-06
"BKTR","AllAges",0.693147180559945,2,1,5,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,10.4113988474164,2.27303793282033,0.95405977292208,1.0690331106211,0.983722320776322,1.25548583413959e-05
"BKTR","AllAges",0.693147180559945,2,1,10,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,20.7110328846102,4.45132177246813,0.989868732573613,1.73960672607507,0.996693024256251,8.14157408157712e-10
"BKTR","AllAges",0.693147180559945,2,1,10,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,20.7110328846102,3.02623156140563,0.996693025213621,1.33337938972163,0.999194406462743,5.03394326223372e-09
"BKTR","AllAges",0.693147180559945,2,1,10,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,20.7110328846102,2.27303793282033,0.998489257911959,1.0690331106211,0.999708248252311,1.70633230878181e-08
"BKTR","AllAges",0.693147180559945,2,1,15,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,30.9006921713642,4.45132177246813,0.99945090078586,1.73960672607507,0.999882451123111,1.25088828184516e-12
"BKTR","AllAges",0.693147180559945,2,1,15,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,30.9006921713642,3.02623156140563,0.999882451234081,1.33337938972163,0.9999822132565,9.33075838815967e-12
"BKTR","AllAges",0.693147180559945,2,1,15,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,30.9006921713642,2.27303793282033,0.999959050643899,1.0690331106211,0.999995276713468,3.69881902884117e-11
"BKTR","AllAges",0.693147180559945,2,1,20,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,40.9821287435933,4.45132177246813,0.999974489229193,1.73960672607507,0.999996298907277,5.86197757002083e-14
"BKTR","AllAges",0.693147180559945,2,1,20,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,40.9821287435933,3.02623156140563,0.999996298999904,1.33337938972163,0.999999636684968,3.44169137633799e-14
"BKTR","AllAges",0.693147180559945,2,1,20,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,40.9821287435933,2.27303793282033,0.999998993092846,1.0690331106211,0.999999926940843,1.11133324764978e-13
"BKTR","AllAges",0.693147180559945,2,2,5,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,15.6170982711246,4.22520127312749,0.967270751809012,1.70561791975927,0.986141645059924,1.9054548716646e-08
"BKTR","AllAges",0.693147180559945,2,2,5,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,15.6170982711246,2.90913248820395,0.986141664336096,1.31497186427052,0.995421076224393,1.15012339318987e-07
"BKTR","AllAges",0.693147180559945,2,2,5,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,15.6170982711246,2.2003644103409,0.992477802084681,1.05752317930608,0.997970135193263,3.73886100968335e-07
"BKTR","AllAges",0.693147180559945,2,2,10,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,31.0665493269152,4.22520127312749,0.999661265127888,1.70561791975927,0.999920746487534,7.46624984060418e-13
"BKTR","AllAges",0.693147180559945,2,2,10,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,31.0665493269152,2.90913248820395,0.999920746537386,1.31497186427052,0.999986682188821,6.37512265200257e-12
"BKTR","AllAges",0.693147180559945,2,2,10,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,31.0665493269152,2.2003644103409,0.999970690161122,1.05752317930608,0.999996224493236,2.79025691440893e-11
"BKTR","AllAges",0.693147180559945,2,2,15,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,46.3510382570461,4.22520127312749,0.999997692961488,1.70561791975927,0.999999675388061,7.66053886991358e-15
"BKTR","AllAges",0.693147180559945,2,2,15,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,46.3510382570461,2.90913248820395,0.999999675403632,1.31497186427052,0.999999969097064,3.21964677141295e-15
"BKTR","AllAges",0.693147180559945,2,2,15,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,46.3510382570461,2.2003644103409,0.999999913176173,1.05752317930608,0.999999993943745,6.21724893790088e-15
"BKTR","AllAges",0.693147180559945,2,2,20,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,61.4731931153901,4.22520127312749,0.999999987269169,1.70561791975927,0.99999999886873,9.99200722162641e-16
"BKTR","AllAges",0.693147180559945,2,2,20,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,61.4731931153901,2.90913248820395,0.999999998869545,1.31497186427052,0.999999999935194,1.11022302462516e-16
"BKTR","AllAges",0.693147180559945,2,2,20,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,2,0.693147180559945,0,0,0,0.693147180559945,26,61.4731931153901,2.2003644103409,0.999999999773873,1.05752317930608,0.999999999990835,0
"BKTR","AllAges",0.693147180559945,2,3,5,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,18.7405179253495,4.1213382003449,0.987696719341418,1.68957245778027,0.995318285844988,1.88709625703609e-09
"BKTR","AllAges",0.693147180559945,2,3,5,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,18.7405179253495,2.85465509008965,0.9953182879296,1.30621180201603,0.998630007470758,1.33893346410119e-08
"BKTR","AllAges",0.693147180559945,2,3,5,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,18.7405179253495,2.16630778445717,0.997627686271919,1.05201942674807,0.999440275881277,4.83148878682726e-08
"BKTR","AllAges",0.693147180559945,2,3,10,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,37.2798591922981,4.1213382003449,0.999964311652583,1.68957245778027,0.999992823813652,1.95399252334028e-14
"BKTR","AllAges",0.693147180559945,2,3,10,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,37.2798591922981,2.85465509008965,0.999992823873096,1.30621180201603,0.999998983293303,1.4122036873232e-13
"BKTR","AllAges",0.693147180559945,2,3,10,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,37.2798591922981,2.16630778445717,0.999997590803987,1.05201942674807,0.999999742969445,6.43596287375203e-13
"BKTR","AllAges",0.693147180559945,2,3,15,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,55.6212459084552,4.1213382003449,0.999999936416639,1.68957245778027,0.999999992520004,1.88737914186277e-15
"BKTR","AllAges",0.693147180559945,2,3,15,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,55.6212459084552,2.85465509008965,0.999999992522773,1.30621180201603,0.999999999418215,6.66133814775094e-16
"BKTR","AllAges",0.693147180559945,2,3,15,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,55.6212459084552,2.16630778445717,0.999999998215852,1.05201942674807,0.999999999900524,1.11022302462516e-16
