"Species","AgeClass","BACI.eff","n.years.b","n.years.a","n.sites.per.year","alpha","scenario","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","sd.WS.BACI","nsw_T","nsw_C","sdSite","sdYear","sdSiteYear","sdResid","sdWS.BACI","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","ts.power","Tcrit","os.power.a","os.power.b"
"BKTR","AllAges",0.693147180559945,2,1,5,0.05,1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0,5,5,5,5,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,10.4113988474164,4.45132177246813,0.859911151255361,1.73960672607507,0.926396564694639,1.00626849763863e-06
"BLTR","Immature",0.693147180559945,2,1,5,0.05,4,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0,5,5,5,5,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,2.49354519531185,4.45132177246813,0.319585003893496,1.73960672607507,0.448717444230283,0.00077828905662336
"BLTR","Mature",0.693147180559945,2,1,5,0.05,7,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0,5,5,5,5,3,7,2,1,0.693147180559945,0,0,0,0.693147180559945,17,2.39917395446144,4.45132177246813,0.309528240164871,1.73960672607507,0.437292886874557,0.000859647215954551
"BKTR","AllAges",1.09861228866811,2,1,5,0.05,12,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0,5,5,5,5,3,7,2,1,1.09861228866811,0,0,0,1.09861228866811,17,26.1545388528544,4.45132177246813,0.997803238444015,1.73960672607507,0.999430150330624,2.42722508758675e-11
"BLTR","Immature",1.09861228866811,2,1,5,0.05,15,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0,5,5,5,5,3,7,2,1,1.09861228866811,0,0,0,1.09861228866811,17,6.26405016731405,4.45132177246813,0.655356269590247,1.73960672607507,0.775303345191914,2.51791321245198e-05
"BLTR","Mature",1.09861228866811,2,1,5,0.05,18,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0,5,5,5,5,3,7,2,1,1.09861228866811,0,0,0,1.09861228866811,17,6.02697959480143,4.45132177246813,0.638653202210187,1.73960672607507,0.761340812688248,3.06359911661502e-05
"BKTR","AllAges",0.693147180559945,3,1,5,0.05,23,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0,5,5,5,5,3,7,3,1,0.693147180559945,0,0,0,0.693147180559945,26,11.7128237033435,4.22520127312749,0.908822302524012,1.70561791975927,0.954148060848633,3.13837250964788e-07
"BLTR","Immature",0.693147180559945,3,1,5,0.05,26,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0,5,5,5,5,3,7,3,1,0.693147180559945,0,0,0,0.693147180559945,26,2.80523834472584,4.22520127312749,0.364524545822573,1.70561791975927,0.494515657256102,0.000523700913468761
"BLTR","Mature",0.693147180559945,3,1,5,0.05,29,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0,5,5,5,5,3,7,3,1,0.693147180559945,0,0,0,0.693147180559945,26,2.69907069876912,4.22520127312749,0.353041192123702,1.70561791975927,0.482094811599259,0.000584643289641917
"BKTR","AllAges",1.09861228866811,3,1,5,0.05,34,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0,5,5,5,5,3,7,3,1,1.09861228866811,0,0,0,1.09861228866811,26,29.4238562094611,4.22520127312749,0.999433639798416,1.70561791975927,0.999859527495796,2.02804439908277e-12
"BLTR","Immature",1.09861228866811,3,1,5,0.05,37,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0,5,5,5,5,3,7,3,1,1.09861228866811,0,0,0,1.09861228866811,26,7.04705643822831,4.22520127312749,0.724278806183545,1.70561791975927,0.826310690151578,1.15196489404168e-05
"BLTR","Mature",1.09861228866811,3,1,5,0.05,40,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0,5,5,5,5,3,7,3,1,1.09861228866811,0,0,0,1.09861228866811,26,6.7803520441516,4.22520127312749,0.707754169069892,1.70561791975927,0.813358985082521,1.43395488817477e-05
"BKTR","AllAges",0.693147180559945,4,1,5,0.05,45,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0,5,5,5,5,3,7,4,1,0.693147180559945,0,0,0,0.693147180559945,35,12.4936786168997,4.1213382003449,0.930045872065359,1.68957245778027,0.965638980579838,1.57965385882974e-07
"BLTR","Immature",0.693147180559945,4,1,5,0.05,48,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0,5,5,5,5,3,7,4,1,0.693147180559945,0,0,0,0.693147180559945,35,2.99225423437422,4.1213382003449,0.39079408368128,1.68957245778027,0.520493815665579,0.000415891388146683
"BLTR","Mature",0.693147180559945,4,1,5,0.05,51,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0,5,5,5,5,3,7,4,1,0.693147180559945,0,0,0,0.693147180559945,35,2.87900874535373,4.1213382003449,0.378535853614813,1.68957245778027,0.507576873011646,0.000467209337433383
"BKTR","AllAges",1.09861228866811,4,1,5,0.05,56,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0,5,5,5,5,3,7,4,1,1.09861228866811,0,0,0,1.09861228866811,35,31.3854466234252,4.1213382003449,0.999752316975682,1.68957245778027,0.999939838256683,5.1414428270391e-13
"BLTR","Immature",1.09861228866811,4,1,5,0.05,59,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0,5,5,5,5,3,7,4,1,1.09861228866811,0,0,0,1.09861228866811,35,7.51686020077686,4.1213382003449,0.759854723792818,1.68957245778027,0.851576445980112,7.2822105967596e-06
