"Watershed","Species","AgeClass","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","BACI.eff","n.years.b","n.years.a","n.streams.t","n.streams.c","n.sites.per.year","alpha","sdSite","sdYear","sdSiteYear","sdResid","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","power","Tcrit","os.power1","os.power2"
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,0.693147180559945,2,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,11.313844989071,10.1279644860139,0.620438644694878,2.35336343480182,0.812437370696583,3.16517276222061e-06
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,0.693147180559945,2,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,2,1,0.693147180559945,0,0,0,0.693147180559945,5,0.99522656671271,6.60789097370336,0.129575863533154,2.01504837333302,0.218156614743274,0.00579591152032388
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,0.693147180559945,2,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,11.1764866222521,10.1279644860139,0.615660006075077,2.35336343480182,0.808522790474322,3.44992202017114e-06
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,0.693147180559945,2,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.531341128363682,10.1279644860139,0.0825415869490439,2.35336343480182,0.143155593923159,0.0125300004503826
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,0.693147180559945,2,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,2,1,0.693147180559945,0,0,0,0.693147180559945,5,0.645206219883728,6.60789097370336,0.10124173816326,2.01504837333302,0.172022692311661,0.00933687100685288
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,0.693147180559945,2,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,2.03898492067833,10.1279644860139,0.174440095586528,2.35336343480182,0.298860138871614,0.00235178210083731
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,0.693147180559945,2,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.982136283422458,10.1279644860139,0.110180889020113,2.35336343480182,0.194220039161239,0.00697367156491457
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,0.693147180559945,2,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,2,1,0.693147180559945,0,0,0,0.693147180559945,5,0.482575083021709,6.60789097370336,0.088178425514754,2.01504837333302,0.149138436069245,0.012037998705467
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,0.693147180559945,2,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.837689245163418,10.1279644860139,0.101329601111767,2.35336343480182,0.178488888808605,0.00830244244662404
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,0.693147180559945,2,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.525395151970488,10.1279644860139,0.0821768910000332,2.35336343480182,0.142434171767261,0.0126402714670764
